Codigo,Acopio,Productosxbulto
TIE00108,TIE,1
TIE00109,TIE,1
TIE00110,TIE,1
TIE00111,TIE,1
TIE00112,TIE,1
FRE04027,FRZ003,1
ALM36045,PCL,1
ALM36044,PCL,1
ALM2014,FRA096,1
LIM11002,PCL,12
ALM16003,ALM060,1
ALM49035,FRA115,1
ALM49036,FRA116,1
ALM49037,FRA117,1
ALM49038,FRA118,1
ALM45007,FRA004,1
ALM49039,FRA010,1
ALM49040,FRA011,1
ALM49041,FRA012,1
ALM49042,FRA013,1
ALM45008,FRA005,1
FRE14005,FRE061,1
TIE00126,TIE,1
TIE00127,TIE,1
ALM45009,FRA113,1
ALM12010,PCL,1
FYV02016,FYV,1
FYV02017,FYV,1
FYV02018,FYV,1
FRE10037,FRZ009,1
FYV02019,FYV,1
ALM48002,ALM204,1
FRE11007,#N/D,1
FRE11008,#N/D,1
FRE11009,#N/D,1
FRE11010,PCL,1
CSOCIALM,#N/D,1
CAN02020,ALM216,1
CAN02021,ALM217,1
CAN02022,ALM218,1
CAN02023,ALM219,1
ALM36046,PCL,1
HIP50027,LIM063,1
ALM49060,FRA017,1
ALM49061,FRA016,1
ALM49062,FRA015,1
TIE001010,TIE,1
TIE00130,TIE,1
TIE00115,TIE,1
TIE00116,TIE,1
HIP50015,LIM042,1
HIP50016,LIM052,12
HIP50018,LIM051,1
HIP50019,LIM053,1
TIE00121,TIE,1
CAN01008,#N/D,1
TIE00135,TIE,1
TIE00136,TIE,1
TIE00137,TIE,1
TIE00140,TIE,1
TIE00118,TIE,1
CAN01009,#N/D,1
TIE001012,TIE,1
HIP50028,LIM067,1
HIP50029,LIM068,1
FRE06028,FRZ016,1
TIE00117,TIE,1
CAN02024,#N/D,1
FRE04028,FRZ024,1
TIE00128,TIE,1
HIP02010,LIM090,1
HIP02011,LIM092,1
FRE14006,FRE055,1
TIE00131,TIE,1
ALM20017,FRA123,1
FYV10063,FYV,1
FRE10034,FRE004,1
ALM49043,FRA068,20
ALM49044,FRA067,20
ALM49045,FRA066,16
ALM39013,PCL,1
FRE10040,#N/D,1
FRE10041,FRZ005,1
FRE10042,FRE051,1
ALM25067,ALM146,30
TIE00134,TIE,1
TIE00150,TIE,1
FRE14054,FRE015,1
FRE14055,FRE018,1
FRE10033,FRZ008,1
HIP50030,LIM071,1
HIP50031,LIM070,1
HIP50032,LIM069,1
TIE00122,TIE,1
ALM25070,FRA097,1
ALM20071,ALM129,1
TIE00138,TIE,1
TIE00139,TIE,1
FRE04035,FRZ004,1
FRE10036,FRA,1
HIP50040,LIM064,1
HIP50041,LIM066,1
HIP50042,LIM065,1
ALM25069,FRA106,1
ALM25080,ALM115,12
ALM25081,ALM112,12
ALM25082,ALM113,12
FRE10050,FRE057,1
TIE00151,TIE,1
TIE00152,TIE,1
HIP01010,LIM027,12
HIP01011,LIM026,12
TIE00153,TIE,1
ALM49046,#N/D,1
TIE00119,TIE,1
TIE00123,TIE,1
